disease_slug,disease_name,category,symptom_code,symptom_label_en,symptom_label_km,weight,is_required,is_pathognomonic
downy-mildew,Downy Mildew,leaf,yellow_spots_on_leaves,Yellow spots on leaves,ចំណុចពណ៌លឿងលើស្លឹក,0.50,False,False
downy-mildew,Downy Mildew,leaf_head,white_fuzzy_mold,White fuzzy mold,ផ្សិតពណ៌សស្រួយ,0.50,False,False
downy-mildew,Downy Mildew,whole_plant,stunted_growth,Stunted growth,លូតលាស់យឺត/ខ្លី,0.50,False,False
downy-mildew,Downy Mildew,environment,cool_wet_conditions,"Cool, wet conditions",លក្ខខណ្ឌត្រជាក់ និងសើម,0.50,False,False
alternaria-leaf-spot,Alternaria Leaf Spot,leaf,dark_brown_black_leaf_spots,Dark brown/black leaf spots,ចំណុចពណ៌ត្នោតចាស់/ខ្មៅលើស្លឹក,0.50,False,False
alternaria-leaf-spot,Alternaria Leaf Spot,leaf,premature_leaf_drop,Premature leaf drop,ស្លឹកជ្រុះមុនពេល,0.50,False,False
alternaria-leaf-spot,Alternaria Leaf Spot,leaf,yellow_spots_on_leaves,Yellow spots on leaves,ចំណុចពណ៌លឿងលើស្លឹក,0.50,False,False
rust,Rust,leaf,orange_brown_rust_pustules,Orange/brown rust pustules,ពពុះច្រេះពណ៌ទឹកក្រូច/ត្នោត,0.50,False,False
rust,Rust,leaf,premature_leaf_drop,Premature leaf drop,ស្លឹកជ្រុះមុនពេល,0.50,False,False
rust,Rust,whole_plant,wilting_or_drooping,Wilting or drooping,ស្រពោន ឬ ទ្រេតធ្លាក់,0.50,False,False
charcoal-rot,Charcoal Rot,whole_plant,wilting_or_drooping,Wilting or drooping,ស្រពោន ឬ ទ្រេតធ្លាក់,0.50,False,False
charcoal-rot,Charcoal Rot,stem,brown_black_spots_or_lesions_on_stem,Brown/black spots or lesions on stem,ចំណុច ឬ ដំបៅពណ៌ត្នោត/ខ្មៅលើដើម,0.50,False,False
charcoal-rot,Charcoal Rot,root,root_rot_poor_roots,Root rot / poor roots,ឫសរលួយ / ឫសខ្សោយ,0.50,False,False
charcoal-rot,Charcoal Rot,environment,hot_dry_field_conditions,"Hot, dry field conditions",លក្ខខណ្ឌវាលក្តៅ និងស្ងួត,0.50,False,False
white-mold,White Mold,leaf_head,white_fuzzy_mold,White fuzzy mold,ផ្សិតពណ៌សស្រួយ,0.50,False,False
white-mold,White Mold,stem,soft_watery_stem_rot,Soft/watery stem rot,ដើមរលួយទន់/ជ្រាបទឹក,0.50,False,False
white-mold,White Mold,head,rot_on_flower_head,Rot on flower head,រលួយលើក្បាលផ្កា,0.50,False,False
white-mold,White Mold,whole_plant,wilting_or_drooping,Wilting or drooping,ស្រពោន ឬ ទ្រេតធ្លាក់,0.50,False,False
white-mold,White Mold,environment,cool_wet_conditions,"Cool, wet conditions",លក្ខខណ្ឌត្រជាក់ និងសើម,0.50,False,False
bacterial-head-rot,Bacterial Head Rot,head,rot_on_flower_head,Rot on flower head,រលួយលើក្បាលផ្កា,0.50,False,False
bacterial-head-rot,Bacterial Head Rot,stem,soft_watery_stem_rot,Soft/watery stem rot,ដើមរលួយទន់/ជ្រាបទឹក,0.50,False,False
bacterial-head-rot,Bacterial Head Rot,environment,cool_wet_conditions,"Cool, wet conditions",លក្ខខណ្ឌត្រជាក់ និងសើម,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,head,soft_watery_rot_on_the_head,"Soft, watery rot on the head",ក្បាលរលួយទន់ និងសើម,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,head,head_becomes_brown_and_mushy,Head becomes brown and mushy,ក្បាលប្រែពណ៌ត្នោត និងទន់,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,head,white_cotton_like_fungal_growth_appears,"White, cotton-like fungal growth appears",មានផ្សិតពណ៌ស ដូចសំឡី,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,head,black_spore_structures_may_develop_powdery_appearance,Black spore structures may develop (powdery appearance),អាចមានម្សៅខ្មៅ (spores),0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,seedling,seeds_become_soft_rotten_and_unusable,"Seeds become soft, rotten, and unusable",គ្រាប់ទន់ រលួយ និងមិនអាចប្រើបាន,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,seedling,seed_loss_is_significant,Seed loss is significant,បាត់បង់គ្រាប់ច្រើន,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,whole_plant,head_droops_or_collapses,Head droops or collapses,ក្បាលធ្លាក់ ឬបាក់,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,environment,warm_temperatures,Warm temperatures,សីតុណ្ហភាពក្តៅ,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,environment,high_humidity,High humidity,សំណើមខ្ពស់,0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,environment,wet_conditions_especially_during_flowering_stage,"Wet conditions, especially during flowering stage",ស្ថានភាពសើម (ពិសេសពេលចេញផ្កា),0.50,False,False
rhizopus-head-rot,Rhizopus Head Rot,environment,infection_often_occurs_after_insect_or_mechanical_damage,Infection often occurs after insect or mechanical damage,ជំងឺកើតបន្ទាប់ពីមានរបួសពីសត្វល្អិត ឬការប៉ះទង្គិច,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,head,white_cotton_like_fungal_growth_on_head,"White, cotton-like fungal growth on head",មានផ្សិតពណ៌ស ដូចសំឡី,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,head,head_becomes_soft_and_water_soaked,Head becomes soft and water-soaked,ក្បាលទន់ និងសើម,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,head,brown_rot_develops_under_the_white_mold,Brown rot develops under the white mold,រលួយពណ៌ត្នោតក្រោមផ្សិតស,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,head,head_collapses,head collapses,ក្បាលអាចធ្លាក់,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,seedling,seeds_become_soft_shriveled_and_moldy,"Seeds become soft, shriveled, and moldy",គ្រាប់ទន់ ចាស់ និងមានផ្សិត,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,whole_plant,head_droops_or_collapses,Head droops or collapses,ក្បាលធ្លាក់ ឬបាក់,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,environment,cool_to_moderate_temperatures,Cool to moderate temperatures,សីតុណ្ហភាពត្រជាក់ទៅមធ្យម,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,environment,high_humidity,High humidity,សំណើមខ្ពស់,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,environment,wet_conditions_especially_during_flowering,"Wet conditions, especially during flowering",មានសំណើមពេលចេញផ្កា,0.50,False,False
sclerotinia-head-rot,Sclerotinia Head Rot,environment,infection_often_occurs_after_mechanical_damage_or_insect_feeding,Infection often occurs after mechanical damage or insect feeding,Infection often occurs after mechanical damage or insect feeding,0.50,False,False
